id,name
1,Valsartan
2,Guanfacine
3,Buprenorphine / naloxone
4,Cialis
5,Levonorgestrel
6,Aripiprazole
7,Keppra
8,Topiramate
9,L-methylfolate
10,Pentasa
11,Dextromethorphan
12,Liraglutide
13,Trimethoprim
14,Amitriptyline
15,Lamotrigine
16,Nilotinib
17,Atripla
18,Trazodone
19,Etanercept
20,Tioconazole
21,Azithromycin
22,Eflornithine
23,Daytrana
24,Ativan
25,Imitrex
26,Sertraline
27,Toradol
28,Viberzi
29,Mobic
30,Dulcolax
31,Morphine
32,MoviPrep
33,Trilafon
34,Fluconazole
35,Contrave
36,Clonazepam
37,Metaxalone
38,Venlafaxine
39,Ledipasvir / sofosbuvir
40,Symbyax
41,Tamsulosin
42,Doxycycline
43,Dulaglutide
44,Intuniv
45,Buprenorphine
46,Qvar
47,Opdivo
48,Pyridium
49,Latuda
50,Bupropion
51,Effexor XR
52,Prepopik
53,Tretinoin
54,Ethinyl estradiol / norgestimate
55,Elbasvir / grazoprevir
56,Clomiphene
57,Docusate / senna
58,Amitiza
59,Sildenafil
60,Oxcarbazepine
61,Wellbutrin
62,Phillips' Milk of Magnesia
63,Nature-Throid
64,Lithium
65,Oxycodone
66,Estradiol
67,Augmentin XR
68,Monistat 7-Day Combination Pack
69,Plan B One-Step
70,Alprazolam
71,Fluoxetine
72,Spironolactone
73,Fluvoxamine
74,Macrobid
75,Lurasidone
76,Adapalene / benzoyl peroxide
77,Brimonidine
78,Amlodipine / olmesartan
79,Linaclotide
80,Mirtazapine
81,Acetaminophen / hydrocodone
82,Isotretinoin
83,Ropinirole
84,Zoledronic acid
85,Lamictal
86,Buspirone
87,Propranolol
88,Focalin
89,Levofloxacin
90,Phentermine / topiramate
91,Cephalexin
92,Saxenda
93,Clomipramine
94,Medroxyprogesterone
95,Aczone
96,Nicoderm CQ
97,Naltrexone
98,Restasis
99,Olanzapine
100,Oxytrol
101,Fentanyl
102,Epiduo
103,Accutane
104,Xanax
105,Desvenlafaxine
106,Lyrica
107,Phenergan
108,Loestrin 21 1 / 20
109,Loratadine
110,Cardura XL
111,Viibryd
112,Propofol
113,Camphor / menthol
114,Hydroxychloroquine
115,Lorcaserin
116,Insulin degludec
117,Trintellix
118,Lupron Depot
119,Zanaflex
120,Miconazole
121,Opana ER
122,Provera
123,Diflucan
124,Ibrance
125,Lisinopril
126,Empagliflozin
127,Naproxen
128,Amoxicillin / clarithromycin / lansoprazole
129,Metoprolol
130,Naloxegol
131,Leuprolide
132,Ulipristal
133,Benzonatate
134,Sulfamethoxazole / trimethoprim
135,Eletriptan
136,Escitalopram
137,Dulera
138,Prempro
139,Gemfibrozil
140,Depakote
141,Testosterone
142,Zomig
143,Vyvanse
144,Solodyn
145,Efavirenz / emtricitabine / tenofovir
146,Methimazole
147,Aleve
148,Tylenol with Codeine #3
149,Victoza
150,Lubiprostone
151,Sovaldi
152,Pristiq
153,Temozolomide
154,Nabumetone
155,Meloxicam
156,Cevimeline
157,ProAir RespiClick
158,Gabapentin
159,Relpax
160,Levomilnacipran
161,Valtrex
162,Clindamycin
163,BuSpar
164,Plan B
165,Trolamine salicylate
166,Lisdexamfetamine
167,Qsymia
168,Rizatriptan
169,Ziana
170,Boudreaux Butt Paste
171,Cymbalta
172,Zoloft
173,Tizanidine
174,Gastrocrom
175,Amphetamine / dextroamphetamine
176,Exenatide
177,Paroxetine
178,Bontril Slow Release
179,Levothroid
180,Carbamazepine
181,Adipex-P
182,Bydureon
183,Bupropion / naltrexone
184,Voltaren-XR
185,Pimecrolimus
186,Acetaminophen / oxycodone
187,Monistat 7
188,Pramipexole
189,AndroGel
190,Nitrofurantoin
191,Metronidazole
192,Ziprasidone
193,Acetaminophen / butalbital / caffeine
194,Nuvigil
195,Moxifloxacin
196,Methadone
197,Celecoxib
198,Aspirin / butalbital / caffeine
199,Montelukast
200,Saliva substitutes
201,Atomoxetine
202,Anastrozole
203,Phenol
204,Duloxetine
205,Magnesium sulfate / potassium sulfate / sodium sulfate
206,Lansoprazole
207,Nardil
208,Milnacipran
209,Oxymorphone
210,Acetaminophen / aspirin / caffeine
211,Levaquin
212,Ciprofloxacin
213,Avelox
214,Acidophilus
215,Metformin
216,Terconazole
217,Saphris
218,Augmentin
219,Lexapro
220,Tamiflu
221,Prazosin
222,Liothyronine
223,Seroquel
224,Terbinafine
225,Valium
226,Norco
227,Progesterone
